DIAGRAMA DE RELACIONES (REL) — Método SLP de Muther — MODO DOS LÍNEAS PARALELAS (vinculado a Guerchet),,,,
,,,,
CÓDIGOS DE CERCANÍA,,,,
Código,Significado,Criterio,,
A,Imprescindible,Flujo directo secuencial de materiales — debe estar físicamente adyacente,,
E,Muy importante,"Fuerte dependencia operativa (control de calidad en proceso crítico, coordinación logística)",,
I,Importante,Dependencia útil pero no crítica,,
O,Normal,"Cercanía conveniente, sin impacto significativo",,
U,Sin importancia,No hay razón técnica para cercanía o lejanía,,
X,No deseable,"Riesgo BPM, contaminación cruzada, violación normativa SENASA",,
,,,,
SECTORES DE PLANTA (21 sectores — líneas paralelas independientes desde Limpieza),,,,
Código,Nombre,Zona BPM,Superficie (m²),Fuente
S01,Recepción Materia Prima,Zona Sucia,15,Estimado
S02,Almacén Materia Prima,Zona Sucia,30,Estimado (a ajustar con dimensionamiento de stock/cámara)
S03,Pesado / Selección,Zona Sucia,2,"Estimado (balanza industrial, sin ficha dedicada)"
S04M,Limpieza/Lavado Mermeladas,Zona Sucia,10.125,Guerchet
S04S,Limpieza/Lavado Snacks,Zona Sucia,27,Guerchet
S05M,Pelado Mermeladas,Zona Sucia,9.72,Guerchet
S05S,Pelado Snacks,Zona Sucia,23.8095,Guerchet
S06M,Descarozado Mermeladas,Zona Sucia,5.4,Guerchet
S06S,Descarozado Snacks,Zona Sucia,8.1,Guerchet
S07M,Pulpeado Mermeladas,Zona Sucia,17.082,Guerchet
S07S,Cortado Snacks,Zona Sucia,3.24,Guerchet
S08M,Cocción Mermeladas,Zona Limpia,4.86,Guerchet
S08S,Deshidratado Snacks,Zona Limpia,17.34,Guerchet
S09M,Envasado / Llenado Mermeladas,Zona Limpia,10.8,Guerchet
S09S,Envasado Snacks (VFFS),Zona Limpia,4.725,Guerchet
S10,Pasteurizado (solo Mermeladas),Zona Limpia,19.2,Guerchet
S11,Etiquetado / Empaque (solo Mermeladas),Zona Limpia,8.1,Guerchet
S12,Almacén Producto Terminado,Zona Limpia,40,Estimado (a ajustar con dimensionamiento de stock)
S13,Control de Calidad / Laboratorio,Zona Limpia,20.7375,Estimado base 15 m² + Detector de Metales (Guerchet)
S14,Vestuarios / Barrera Sanitaria,Transición BPM,12,Estimado
S15,Oficinas / Administración,Administración,20,Estimado
TOTAL SUPERFICIE SECTORES,309.239,,,
,,,,
"RELACIONES A (Imprescindible) — flujo secuencial de materiales, dos líneas en paralelo desde Limpieza",,,,
Sector A,Sector B,Justificación,,
S01 Recepción MP,S02 Almacén MP,Recepción descarga directamente en almacén. Flujo físico continuo,,
S02 Almacén MP,S03 Pesado/Selección,MP pasa de almacén a pesado antes de cada batch,,
S03 Pesado/Selección,S04M Limpieza Mermeladas,Selección deriva la fruta de mermelada a su propia línea de lavado,,
S03 Pesado/Selección,S04S Limpieza Snacks,Selección deriva la fruta de snack a su propia línea de lavado,,
S04M Limpieza Mermeladas,S05M Pelado Mermeladas,"Fruta lavada (línea Mermeladas) pasa a pelado continuo, sin almacenamiento intermedio",,
S04S Limpieza Snacks,S05S Pelado Snacks,"Fruta lavada (línea Snacks) pasa a pelado continuo, sin almacenamiento intermedio",,
S05M Pelado Mermeladas,S06M Descarozado Mermeladas,Fruta pelada (Mermeladas) ingresa a descarozado en línea continua,,
S05S Pelado Snacks,S06S Descarozado Snacks,Fruta pelada (Snacks) ingresa a descarozado en línea continua,,
S06M Descarozado Mermeladas,S07M Pulpeado Mermeladas,Fruta descarozada (Mermeladas) pasa inmediatamente a pulpeado,,
S06S Descarozado Snacks,S07S Cortado Snacks,Fruta descarozada (Snacks) pasa inmediatamente a cortado,,
S07M Pulpeado Mermeladas,S08M Cocción Mermeladas,Pulpa ingresa directamente a la marmita,,
S07S Cortado Snacks,S08S Deshidratado Snacks,Fruta cortada ingresa directamente al túnel de microondas,,
S08M Cocción Mermeladas,S09M Envasado Mermeladas,Mermelada cocida se envasa en caliente (máx. 15 min),,
S08S Deshidratado Snacks,S09S Envasado Snacks,Snack deshidratado pasa a envasado sin almacenamiento intermedio,,
S09M Envasado Mermeladas,S10 Pasteurizado,Frascos envasados ingresan al pasteurizador inmediatamente,,
S09S Envasado Snacks,S12 Almacén PT,Bolsas selladas (VFFS) se paletizan directo a almacén PT — no requieren pasteurizado ni etiquetado en línea separada,,
S10 Pasteurizado,S11 Etiquetado/Empaque,Frascos pasteurizados pasan a etiquetado en línea,,
S11 Etiquetado/Empaque,S12 Almacén PT,Producto etiquetado se paletiza y transfiere a almacén PT,,
,,,,
RELACIONES E (Muy importante) — control de calidad,,,,
Sector A,Sector B,Justificación,,
S01 Recepción MP,S13 CC/Laboratorio,CC analiza muestras de cada partida de MP antes de liberar al proceso,,
S08M Cocción Mermeladas,S13 CC/Laboratorio,"CC controla Brix, pH y temperatura en puntos críticos (HACCP)",,
S09M Envasado Mermeladas,S13 CC/Laboratorio,"CC verifica torque de tapa, peso neto y hermeticidad",,
S09S Envasado Snacks,S13 CC/Laboratorio,CC controla humedad residual y peso de bolsa,,
,,,,
"RELACIONES X (No deseable) — riesgo BPM / contaminación cruzada, por línea",,,,
Sector A,Sector B,Consecuencia si se viola,,
S01 Recepción MP,S12 Almacén PT,"Contaminación cruzada MP/PT — observación SENASA, riesgo de suspensión de habilitación",,
